ward_code;ward_name;population_density;average_income;employment_rate;avg_gcse_score;economically_active;in_employment;eco
E05000142;Regent's Park;11884,6;52460;54,35408599;319,7840237;59;89,30608365;6312
E05000143;St. Pancras and Somers Town;12821,4;46850;52,98576257;313,5797297;58,1;87,30998017;6052
E05000144;Swiss Cottage;10500;79860;72,30603448;305,1346535;73,5;94,43838604;7336
E05000145;West Hampstead;14500;72450;76,16199769;328,3084211;77,9;93,83856275;7904
E05000146;Addiscombe;11531,3;46520;74,11453161;318,2655629;76,5;91,92766215;9898
E05000147;Ashburton;5722,2;47220;71,72118299;320,0701657;72,2;91,99374104;7669
E05000148;Bensham Manor;12142,9;40730;67,46899403;311,7073892;71,5;88,99726418;8407
E05000149;Broad Green;7851,9;37670;64,62324393;309,4956863;70,3;87,99014356;9334
E05000150;Coulsdon East;1701,3;52750;73,88518024;335,0186047;70,6;93,580971;6138
E05000151;Coulsdon West;2930;58380;75,54660529;352,3064103;73,5;94,33361042;7218
E05000152;Croham;4785,7;52180;76,4695194;341,1949153;77,7;92,96942291;9288
E05000153;Fairfield;6789,5;47920;73,12222602;317,3410256;75,4;91,92481361;9523
E05000154;Fieldway;8133,3;32760;58,49140486;275,95;64,5;84,42812172;4765
E05000155;Heathfield;1597,7;48780;74,30466659;309,4560811;72,8;93,60530774;7084
E05000156;Kenley;2500;54850;75,00519642;330,1275168;74,1;93,39693698;7966
E05000157;New Addington;4854,2;35060;64,37179873;289,8164634;67,7;88,33736885;4956
E05000158;Norbury;7020;44870;69,46141033;326,75125;70,9;90,8886788;8462
E05000159;Purley;3892,9;55480;74,07484842;345,9036232;72,5;94,32111513;7748
E05000160;Sanderstead;2134,9;59000;74,85793661;346,8307692;71,8;94,38219493;6515
E05000161;Selhurst;8282,6;37920;64,74873748;316,709;70,5;87,70383429;9076
E05000162;Selsdon and Ballards;1953,1;56510;76,42116319;339,6961538;71,9;95,53388898;6359
E05000163;Shirley;5357,1;48410;72,26872001;319,2423729;71,3;92,394755;7245
E05000164;South Norwood;7208,3;41840;68,67575891;318,8761538;74,1;88,31413381;9028
E05000165;Thornton Heath;10176,5;40960;66,77374943;297,8066351;72,4;87,31316935;8497
E05000166;Upper Norwood;6557,7;45670;69,66703256;318,4347826;72,6;90,24051804;8648
E05000167;Waddon;5069,4;42100;69,93940458;304,6142857;72,6;91,06082671;8927
E05000168;West Thornton;9275;39350;64,58005937;317,692887;68,8;88,60997067;8525
E05000169;Woodside;7954,5;41170;68,9560924;299,3424581;74,8;88,21966342;9032
E05000170;Acton Central;9138,9;46260;69,37728938;335,7136691;72;91,86682521;8410
E05000171;Cleveland;6977,3;53560;68,58178054;338,8765101;70;92,05898268;7392
E05000172;Dormers Wells;6326,1;37130;60,98889131;308,4539877;64,5;87,94031687;6501
E05000173;Ealing Broadway;8947,4;59190;75,09938912;349,3357798;75,9;93,96663906;8453
E05000174;Ealing Common;6976,2;56300;74,60933709;338,9455224;76;92,98390913;8452
E05000175;East Acton;4883,7;41590;68,30508475;305,9163265;72,3;90,66974152;10407
E05000176;Elthorne;7925;49650;73,08516858;313,4022901;75,1;92,13483146;8277
E05000177;Greenford Broadway;7320;38540;66,40110842;315,4;70;89,39031339;8775
E05000178;Greenford Green;4367,6;44830;72,64522822;324,8804196;73,5;92,17022371;7778
E05000179;Hanger Hill;4893,9;58010;71,91942013;330,2333333;72,5;93,59430605;8430
E05000180;Hobbayne;6681,8;45900;70,59073523;327,9706806;71,9;92,01839827;7392
E05000181;Lady Margaret;9666,7;41060;66,57605855;337,0518919;69,2;90,16530074;7199
E05000182;Northfield;9366,7;63700;78,61436254;379,539759;77,5;95,28455285;7995
E05000183;North Greenford;4781,3;46250;72,27584834;323,1869822;73,2;92,30673627;8046
E05000184;Northolt Mandeville;5625;40330;67,26690676;302,8310345;70,1;90,36540484;7608
E05000185;Northolt West End;4471,4;36170;61,91985279;319,8985075;67,4;87,04459136;7109
E05000186;Norwood Green;3842,1;36730;57,25990458;309,1493976;63,8;85,31500227;6619
E05000187;Perivale;4661,8;45650;71,37855994;339,7912752;72,4;92,38232124;8349
E05000188;South Acton;10323,5;43350;68,13316311;320,6519231;71,3;90,43245312;7839
E05000189;Southall Broadway;11687,5;35440;59,0508327;315,5;63,4;87,18962518;6323
E05000190;Southall Green;10062,5;34530;59,65050844;305,7556075;65,4;86,33610368;7099
E05000191;Southfield;9964,3;66360;77,58497499;350,5364583;77,2;95,11539871;8189
E05000192;Walpole;9300;60250;77,27177335;371,26;77,2;94,36849367;7973
E05000193;Bowes;10400;45290;71,89194518;329,8356643;74,5;91,0974862;8155
E05000194;Bush Hill Park;6000;52700;73,02062542;353,3716418;71,8;93,30509632;7319
E05000195;Chase;875,7;45360;69,5397772;317,0176101;71,3;90,89224629;7016
E05000196;Cockfosters;1437,5;55190;66,94346491;339,7052239;67;92,05052006;6730
E05000197;Edmonton Green;6290,3;32940;53,80506174;293,6270073;61,3;83,00558065;7526
E05000198;Enfield Highway;3760,9;36850;60,13380559;311,2858974;65,1;86,57810987;7227
E05000199;Enfield Lock;5545,5;37780;62,00338919;303,4353659;68,1;86,43805595;7757
E05000200;Grange;4378,8;58640;74,84214436;364,4894737;72,4;94,41700344;6681
E05000201;Haselbury;9722,2;37020;59,257864;307,4738197;64,3;86,74780257;7395
E05000202;Highlands;2862,7;55140;72,90053603;346,9764286;70,9;93,92378991;6797
E05000203;Jubilee;3987,2;38450;62,24534027;310,3554404;65,5;88,5589388;6634
E05000204;Lower Edmonton;8068,2;35300;57,87311294;303,9780822;63,4;86,195849;7179
E05000205;Palmers Green;8789,5;47480;70,22744946;336,5110236;70,8;91,39851485;8080
E05000206;Ponders End;5428,6;35810;57,97642436;313,5278027;63,7;86,01080466;7034
E05000207;Southbury;5517,2;41440;65,0499737;327,2457447;69;88,97826701;7086
E05000208;Southgate;5833,3;52310;71,0776218;360,5901408;72,3;92,09568383;7692
E05000209;Southgate Green;5961,5;54020;70,39860597;348,4811966;70,6;92,83252929;7255
E05000210;Town;7272,7;53390;75,91157938;327,94375;74,9;93,6309671;8086
E05000211;Turkey Street;6826,1;36270;60,85755332;306,4853081;65,4;86,59889094;6492
E05000212;Upper Edmonton;7574,1;35720;58,44995571;290,8079295;64,3;86,02508318;7814
E05000213;Winchmore Hill;5196,4;58520;75,10345599;350,9736;74,2;94,0371324;7379
E05000214;Abbey Wood;5574,1;39630;63,56534802;301,1487805;69,3;86,99878493;7407
E05000215;Blackheath Westcombe;5857,1;63690;75,45783405;327,412766;75;94,34604905;7340
E05000216;Charlton;6725;47740;67,7386106;316,1527778;71;89,71336726;7466
E05000217;Coldharbour and New Eltham;5000;48340;70,68945058;319,4644295;69,7;92,45709124;6642
E05000218;Eltham North;4634,6;54840;75,09252406;339,044186;72,9;93,76588429;6689
E05000219;Eltham South;2641,3;46660;64,88925349;352,4731092;66,5;90,62152281;6291
E05000220;Eltham West;5312,5;42970;64,00351185;310,888961;66,6;88,7250996;5020
